_	z	x	c	v	b	a	s	d	f	g	q	w	e	r	t	_
z	NA	NA	129,1	NA	NA	111,1	NA	180,1	NA	NA	151,1	NA	NA	NA	NA	432,1
x	NA	NA	NA	NA	133,1	128,1	155,1	329,1	NA	143,1	NA	183,1	NA	NA	145,1	106,1
c	299,1	205,1	NA	323,1	NA	249,1	138,1	NA	NA	152,1	149,1	129,1	NA	160,1	333,1	NA
v	NA	424,1	167,1	195,1	201,1	148,1	140,1	NA	NA	144,1	156,1	480,1	183,1	NA	234,1	86,1
b	NA	105,1	84,1	178,1	NA	90,1	NA	168,1	NA	NA	193,1	102,1	170,1	184,1	185,1	NA
a	275,1	NA	194,1	128,1	90,1	137,1	334,1	373,1	319,1	264,1	NA	NA	468,1	220,1	NA	NA
s	NA	171,1	NA	NA	145,1	137,1	216,1	125,1	NA	163,1	238,1	130,1	255,1	293,1	158,1	106,1
d	239,1	224,1	268,1	NA	209,1	NA	309,1	489,1	102,1	NA	113,1	236,1	178,1	252,1	NA	NA
f	NA	175,1	268,1	NA	NA	443,1	NA	188,1	NA	199,1	NA	NA	608,1	95,1	NA	NA
g	128,1	209,1	NA	NA	148,1	266,1	NA	290,1	NA	NA	244,1	128,1	NA	NA	NA	283,1
q	90,1	213,1	103,1	133,1	NA	NA	244,1	NA	NA	194,1	101,1	110,1	NA	448,1	NA	165,1
w	NA	89,1	329,1	449,1	196,1	338,1	NA	201,1	210,1	360,1	275,1	NA	NA	NA	NA	164,1
e	172,1	309,1	120,1	238,1	214,1	NA	196,1	NA	254,1	506,1	136,1	NA	NA	392,1	NA	130,1
r	198,1	193,1	NA	NA	138,1	189,1	259,1	288,1	133,1	182,1	117,1	208,1	643,1	106,1	173,1	76,1
t	NA	114,1	224,1	NA	214,1	NA	NA	121,1	319,1	138,1	NA	NA	NA	374,1	125,1	204,1
_	NA	124,1	127,1	168,1	94,1	158,1	90,1	193,1	124,1	208,1	NA	148,1	NA	270,1	NA	434,1
