_	z	x	c	v	b	a	s	d	f	g	q	w	e	r	t	_
z	99,1	NA	163,1	NA	288,1	205,1	214,1	124,1	NA	178,1	99,1	143,1	NA	242,1	129,1	NA
x	NA	458,1	NA	199,1	NA	113,1	225,1	240,1	NA	NA	134,1	303,1	214,1	416,1	199,1	109,1
c	147,1	468,1	189,1	NA	186,1	NA	272,1	NA	NA	NA	178,1	NA	161,1	NA	173,1	289,1
v	452,1	NA	NA	NA	130,1	137,1	272,1	106,1	190,1	79,1	NA	144,1	NA	202,1	NA	170,1
b	249,1	NA	NA	NA	NA	114,1	210,1	165,1	NA	186,1	259,1	188,1	185,1	265,1	NA	NA
a	NA	213,1	NA	95,1	159,1	220,1	NA	NA	92,1	NA	154,1	189,1	NA	172,1	245,1	164,1
s	115,1	175,1	154,1	NA	107,1	NA	141,1	NA	170,1	410,1	112,1	199,1	313,1	NA	178,1	148,1
d	NA	155,1	NA	276,1	NA	119,1	163,1	435,1	NA	209,1	89,1	NA	469,1	NA	104,1	159,1
f	169,1	NA	NA	169,1	104,1	214,1	158,1	93,1	120,1	NA	183,1	220,1	289,1	164,1	NA	159,1
g	439,1	NA	NA	NA	431,1	NA	120,1	NA	154,1	171,1	NA	263,1	159,1	223,1	120,1	NA
q	NA	153,1	185,1	NA	269,1	98,1	135,1	165,1	472,1	139,1	185,1	242,1	NA	NA	157,1	NA
w	NA	149,1	NA	398,1	NA	104,1	119,1	NA	338,1	NA	184,1	759,1	474,1	160,1	NA	NA
e	393,1	193,1	687,1	NA	NA	NA	NA	297,1	559,1	164,1	159,1	NA	437,1	NA	215,1	212,1
r	437,1	NA	105,1	188,1	372,1	314,1	144,1	99,1	NA	NA	319,1	173,1	333,1	319,1	NA	NA
t	NA	NA	NA	NA	188,1	NA	178,1	186,1	NA	328,1	124,1	185,1	345,1	296,1	NA	NA
_	164,1	299,1	155,1	286,1	212,1	375,1	108,1	183,1	NA	86,1	NA	NA	175,1	438,1	269,1	NA
