_	z	x	c	v	b	a	s	d	f	g	q	w	e	r	t	_
z	250,1	187,1	139,1	168,1	NA	305,1	468,1	115,1	198,1	NA	NA	128,1	155,1	NA	148,1	488,1
x	115,1	369,1	210,1	206,1	179,1	628,1	169,1	NA	134,1	173,1	NA	NA	NA	273,1	NA	NA
c	117,1	157,1	NA	NA	270,1	259,1	NA	167,1	107,1	243,1	422,1	NA	NA	427,1	NA	309,1
v	216,1	389,1	101,1	NA	284,1	NA	188,1	NA	557,1	128,1	259,1	179,1	124,1	NA	98,1	250,1
b	NA	354,1	147,1	NA	218,1	269,1	231,1	NA	NA	NA	1102,1	174,1	170,1	NA	369,1	NA
a	686,1	164,1	270,1	295,1	185,1	207,1	NA	286,1	139,1	122,1	NA	NA	116,1	474,1	191,1	174,1
s	NA	179,1	NA	140,1	253,1	589,1	NA	NA	NA	NA	372,1	175,1	NA	NA	103,1	112,1
d	138,1	NA	NA	572,1	360,1	144,1	NA	NA	139,1	NA	141,1	98,1	NA	NA	205,1	250,1
f	238,1	176,1	NA	185,1	299,1	425,1	NA	NA	NA	276,1	205,1	469,1	158,1	NA	96,1	159,1
g	NA	119,1	179,1	220,1	140,1	171,1	308,1	NA	NA	NA	NA	NA	179,1	178,1	NA	NA
q	204,1	NA	NA	NA	NA	NA	167,1	169,1	NA	220,1	NA	NA	86,1	238,1	114,1	502,1
w	136,1	NA	NA	144,1	144,1	149,1	NA	NA	NA	119,1	249,1	NA	133,1	170,1	438,1	158,1
e	100,1	283,1	NA	71,1	357,1	207,1	125,1	239,1	178,1	NA	NA	NA	188,1	NA	152,1	NA
r	210,1	159,1	NA	NA	238,1	NA	NA	131,1	439,1	NA	NA	145,1	NA	169,1	NA	227,1
t	NA	174,1	194,1	495,1	288,1	140,1	210,1	159,1	137,1	219,1	232,1	126,1	226,1	NA	128,1	124,1
_	157,1	NA	156,1	264,1	175,1	291,1	243,1	NA	134,1	222,1	NA	174,1	422,1	114,1	198,1	NA
