_	z	x	c	v	b	a	s	d	f	g	q	w	e	r	t	_
z	156,1	NA	104,1	NA	290,1	NA	224,1	NA	251,1	113,1	140,1	273,1	798,1	786,1	762,1	109,1
x	NA	NA	NA	NA	90,1	NA	199,1	205,1	166,1	NA	140,1	509,1	190,1	263,1	235,1	95,1
c	NA	174,1	NA	NA	301,1	NA	159,1	158,1	NA	185,1	189,1	161,1	339,1	NA	207,1	130,1
v	233,1	NA	NA	262,1	NA	85,1	149,1	98,1	137,1	NA	308,1	414,1	NA	243,1	218,1	NA
b	115,1	177,1	163,1	214,1	143,1	178,1	110,1	NA	133,1	NA	195,1	213,1	376,1	467,1	NA	518,1
a	109,1	164,1	431,1	195,1	226,1	432,1	236,1	114,1	NA	227,1	109,1	239,1	123,1	124,1	88,1	105,1
s	203,1	NA	165,1	289,1	NA	139,1	NA	NA	NA	223,1	NA	NA	114,1	210,1	183,1	NA
d	177,1	NA	105,1	611,1	115,1	234,1	156,1	248,1	174,1	175,1	341,1	120,1	336,1	263,1	358,1	250,1
f	NA	NA	113,1	229,1	136,1	195,1	112,1	144,1	130,1	207,1	208,1	116,1	427,1	NA	NA	150,1
g	88,1	103,1	NA	NA	299,1	190,1	453,1	154,1	165,1	420,1	NA	220,1	NA	305,1	NA	98,1
q	250,1	NA	NA	NA	NA	194,1	123,1	NA	209,1	NA	170,1	NA	183,1	NA	215,1	NA
w	NA	408,1	131,1	89,1	218,1	NA	NA	145,1	110,1	240,1	NA	NA	178,1	140,1	NA	244,1
e	138,1	194,1	220,1	320,1	243,1	99,1	757,1	128,1	NA	168,1	NA	120,1	NA	199,1	NA	203,1
r	198,1	NA	NA	154,1	279,1	268,1	345,1	314,1	NA	NA	126,1	294,1	203,1	404,1	194,1	134,1
t	184,1	165,1	219,1	184,1	NA	210,1	131,1	245,1	210,1	229,1	204,1	88,1	NA	179,1	NA	NA
_	149,1	168,1	NA	NA	225,1	165,1	NA	109,1	149,1	NA	168,1	501,1	NA	302,1	199,1	163,1
