_	z	x	c	v	b	a	s	d	f	g	q	w	e	r	t	_
z	142,1	NA	294,1	247,1	213,1	NA	285,1	165,1	170,1	239,1	211,1	114,1	140,1	188,1	NA	NA
x	149,1	163,1	282,1	149,1	394,1	112,1	NA	239,1	NA	235,1	NA	146,1	180,1	198,1	NA	188,1
c	NA	239,1	NA	194,1	558,1	NA	158,1	133,1	NA	94,1	393,1	NA	233,1	195,1	NA	129,1
v	660,1	174,1	225,1	114,1	210,1	NA	504,1	353,1	NA	NA	721,1	NA	100,1	NA	516,1	284,1
b	NA	NA	93,1	NA	NA	112,1	NA	NA	208,1	159,1	193,1	114,1	NA	187,1	448,1	162,1
a	NA	318,1	184,1	NA	182,1	110,1	NA	513,1	245,1	238,1	204,1	NA	540,1	239,1	562,1	NA
s	NA	NA	NA	175,1	129,1	152,1	199,1	456,1	125,1	443,1	274,1	NA	351,1	NA	250,1	NA
d	76,1	174,1	149,1	193,1	NA	NA	310,1	NA	100,1	NA	163,1	84,1	100,1	NA	152,1	229,1
f	173,1	NA	NA	201,1	119,1	601,1	202,1	205,1	NA	125,1	350,1	NA	158,1	NA	109,1	425,1
g	NA	NA	NA	NA	NA	205,1	444,1	NA	NA	NA	148,1	159,1	274,1	239,1	293,1	169,1
q	162,1	204,1	115,1	234,1	1341,1	245,1	225,1	115,1	NA	153,1	314,1	413,1	193,1	239,1	NA	NA
w	NA	215,1	128,1	122,1	NA	NA	186,1	175,1	173,1	94,1	971,1	NA	NA	402,1	349,1	217,1
e	NA	160,1	NA	NA	130,1	151,1	184,1	134,1	220,1	NA	348,1	139,1	215,1	NA	139,1	NA
r	NA	340,1	NA	224,1	253,1	123,1	184,1	143,1	NA	130,1	202,1	227,1	223,1	420,1	NA	NA
t	NA	NA	186,1	NA	233,1	150,1	247,1	132,1	NA	79,1	220,1	832,1	NA	184,1	197,1	94,1
_	NA	229,1	NA	194,1	274,1	218,1	NA	336,1	196,1	177,1	NA	NA	459,1	441,1	179,1	190,1
