KEY	VALUE
SPACET	1.0
SPACEE	0.919220719402047
SPACES	0.7851816220417721
ER	0.5929595410542109
SPACEA	0.5812276320949215
HT	0.5601102866700317
SPACED	0.5272986995565788
SPACEO	0.4732944901077579
EH	0.4711760640261043
SPACEN	0.4647271830291183
IN	0.4211714903163966
IT	0.3746618389926252
AN	0.3543829278853934
SPACEF	0.3503608130864029
SPACER	0.34973398216660523
ES	0.3451331617816309
NO	0.3377052746756531
EN	0.32605896725765393
SPACEI	0.32250992950537527
AT	0.3064051606251302
OR	0.3043760206897218
DE	0.2936913287398085
SPACEH	0.27703220259235783
SPACEY	0.2711774492785824
AR	0.267495301229879
IS	0.2550294712964774
SPACEW	0.25324602212501224
FO	0.2526351576309006
ET	0.24575972099630677
AL	0.2453800374895978
SPACEL	0.23568584882059343
SPACEC	0.23413507460166488
OT	0.22538333327402282
SPACEM	0.21972117023957552
ST	0.21134316451950214
DN	0.20661584944825692
EL	0.20657101871477934
SPACEP	0.19481015283399505
SPACEG	0.18361539271618976
SPACEB	0.1826367847647541
EM	0.17726395426219882
CE	0.17149478291835332
AS	0.16547984527330442
EV	0.16410505542244097
IL	0.16043152719465043
NT	0.15972880448310112
IR	0.15844179008177572
GN	0.1547743636351015
AC	0.14980324187743763
CI	0.1489304969875053
CO	0.14590271396590804
AH	0.14273355438316654
IO	0.14019246947155
MO	0.13418352944616502
OU	0.13380740965677396
AM	0.12916962933978066
DI	0.11980024433721147
RT	0.11965229651940093
SU	0.11630004292169546
HI	0.11628476921547115
LO	0.11431619999449195
AE	0.10644341875156069
OS	0.1044890311689096
RU	0.10196342422881366
TU	0.1002892647288756
EP	0.09869464389473419
IM	0.09655052500327746
BE	0.09167415627847705
AI	0.09157887391360144
CH	0.09101122687366478
OP	0.08892813442589309
EI	0.08630166903451884
IV	0.08469027249463087
OW	0.08390622954152697
AP	0.07998405166402756
AD	0.07886051598954535
NS	0.07872204169624748
PR	0.07841488749010359
HO	0.07692064498383587
EG	0.07668805614097382
FI	0.07412277513825782
CT	0.07401123542308914
LU	0.07308604371688877
EW	0.07258253874972038
NU	0.07187639550108868
AW	0.06765182910834926
LY	0.06681868557278671
CN	0.06329912885247094
SPACEU	0.06299975828194739
GI	0.061778524521347605
RS	0.061158500215679194
EF	0.06067048159390088
DO	0.058297039216038155
HW	0.058279291058325106
AB	0.05712808544633622
IW	0.056984416007645367
AG	0.05360476076496062
CU	0.05321948107240677
AV	0.05240606718163046
SPACEK	0.0504161782236669
HS	0.05012870610261038
GR	0.04505803128508113
BO	0.04437886401511868
DL	0.04329481659388238
LP	0.04284977269722449
DR	0.04174801259136574
BU	0.04155933910596429
CR	0.04115182726413383
RY	0.03882550865356443
AU	0.03880033510988659
MP	0.038764684238910656
MU	0.03844101518329286
OV	0.03786251573244615
PS	0.03735073257021912
FR	0.03729354571812609
TY	0.037067455170416326
PU	0.03654959512236062
BL	0.03647936523031375
DU	0.036444691035959174
AF	0.036193203253406886
