layout	average fitness	top percent average fitness	best fitness
P _ B V D A E SPACE N I _ K W M H Z F R Q G S T SPACE L O X Y U C J	21.371589604654663	23.35444775667292	25.461365030302055
V D J G M E A SPACE H I L K B F N P Z X Q _ S T SPACE C R W Y O _ U	22.36807922018378	24.016210258838033	25.61358363388512
Z L V K P E O SPACE S N J X F M R Y Q B D _ A T SPACE H W G U I _ C	23.10619800101498	24.50325100057331	25.8393444276088
P H X C W E O SPACE R D J K L M F Z Y B _ U S T SPACE N I G Q V _ A	23.635018133515477	24.882642243242504	25.99954908422825
W F L K B SPACE E T H I Q C M G V O Y J _ Z SPACE S N A R _ U P X D	24.032134671779815	25.188559283649624	26.16153728423737
F V B Z G A N SPACE R O K J U L P C M Q W Y S H SPACE T E _ X I D _	24.353790489267247	25.433624864841622	26.485071127329636
F V B Z G A N SPACE R O K J U L P C M Q W Y S H SPACE T E _ X I D _	24.622411671769946	25.63942905501334	26.485071127329636
F W B C J E A SPACE H R V K L M D O P Q Y _ I T SPACE N S Z X G U _	24.85292656486174	25.814161638472797	26.576185859711686
F C J W B E A SPACE H R V K L M D O P _ Q Y I T SPACE N S Z X G U _	25.0613411160875	25.969719838997424	26.710212835577355
O F P K B SPACE E T H R Q V Y M D U G J _ Z SPACE S N A I _ X L W C	25.26653811431256	26.107043367593146	26.721900031097448
O J L B F A E SPACE R N V U P M C W _ Y Q Z S T SPACE H D X K I G _	25.460230493892634	26.228522406407638	26.779290443012343
G C B V Z E SPACE A R N U M O L D X J _ Q K S SPACE T I H W F _ Y P	25.642685960260945	26.33778879153172	26.877128465353
Y G X W J E A H SPACE R K V L M D F U _ Q P S I N SPACE T _ Z O B C	25.798194884534972	26.434410949654318	26.915474681331897
Y G X W J E A H SPACE R K V L M D F U _ Q P S I N SPACE T _ Z O B C	25.92383377668808	26.527665854686237	26.915474681331897
Y V Z X B SPACE D E R N J F O M G U P K _ Q SPACE A T S H _ W L I C	26.06758682054365	26.61304405921184	26.96438671338314
P X B W Y E A SPACE H R V K M D L F U J _ Z N T SPACE S O _ Q I C G	26.209164323851788	26.68490864827305	27.04959839755488
G D J M V SPACE E A R N K F O W L B Y _ Q Z SPACE S T I H _ X P C U	26.350027542871832	26.765403878064383	27.067170618481235
G D Z K Q SPACE E I R N V P A M L U W X J _ SPACE O T H S B Y C _ F	26.474385093610884	26.834209244936652	27.112774943257968
G D Z K Q SPACE E I R N V P A M L U W X J _ SPACE O T H S B Y C _ F	26.5970569379495	26.885052337720943	27.112774943257968
O U G P F A E SPACE R N K V L M D Y J _ Q X I T SPACE S H _ Z W B C	26.693444777774037	26.931139400043396	27.137574965836052
P U Z Y B E A SPACE S R J V L M D G K Q _ W I T SPACE N H _ X O F C	26.764886468766978	26.963290444400716	27.215843257663565
P U Z Y B E A SPACE S R J V L M D G K _ Q W I T SPACE N H _ X O C F	26.8183544244718	26.99503674384366	27.216556526450518
P U Z Y B E A SPACE S R J V L M D G K _ Q W I T SPACE N H _ X O C F	26.844423936925352	27.02455279970346	27.216556526450518
P U J B Y E A SPACE S R K V L D M W G Z Q _ I T SPACE N H _ X O C F	26.863889454819258	27.055435702476732	27.217107234856215
P U Z B Y E A SPACE S R J V L M D G K Q _ W I T SPACE N H _ X O F C	26.900165512609995	27.08904487973302	27.222063833087176
B P J X V SPACE E A S R K Y L D M U G _ Z Q SPACE T I H N W _ O F C	26.939579364491888	27.129624970858206	27.242398739722145
B P J X V SPACE E A S R K Y L D M U G _ Z Q SPACE T I H N W _ O F C	26.996603276697464	27.16698108723123	27.242398739722145
B P J X V SPACE E A S R K Y L D M U G _ Z Q SPACE T I H N W _ O F C	27.063774005666787	27.197778362106728	27.242398739722145
B P J X V SPACE E A S R K Y L D M G W _ Z Q SPACE T I N H U _ O F C	27.117194566251	27.21751362055636	27.259656037288728
B P J X V SPACE E A S R K Y L D M G W _ Z Q SPACE T I N H U _ O F C	27.161909093436893	27.223259974846442	27.259656037288728
B P K J X SPACE E A S R V Y L M D G W _ Z Q SPACE T I N H U _ O F C	27.18871371686462	27.229909092969173	27.271656829332358
B P K J X SPACE E A S R V Y L D M G W _ Z Q SPACE T I N H U _ O F C	27.19831855529899	27.235401796882243	27.274326443559403
V D K J X SPACE E A R S P B Y L M U G _ Z Q SPACE T I N H _ W O C F	27.202405202030018	27.241963930355908	27.285536463137753
B P J X V SPACE A E R S K Y L D M U G _ Z Q SPACE I T N H W _ O F C	27.19658833046763	27.249442634762328	27.285590934282762
B P J X V SPACE A E S R K Y L M D G W _ Z Q SPACE T I N H U _ O F C	27.1899046562738	27.254917822774548	27.319402857040565
B P J X V SPACE A E S R K Y L D M U G _ Z Q SPACE T I H N _ W O F C	27.218549521605294	27.25967060704208	27.354463812397434
