layout	average fitness	top percent average fitness	best fitness
G _ B _ D E F SPACE I N J K A H M U C Y Z Q S T SPACE O W V P R L X	21.366474181989087	23.34698113529493	25.39723624676517
C G L V B SPACE E T I A J K R H U _ O M Q F SPACE W S N D X Y Z _ P	22.35932785431839	24.01659750499324	25.893335568463083
C G L V B SPACE E T I A J K R H U _ O M Q F SPACE W S N D X Y Z _ P	23.10339813192013	24.511912700914678	25.893335568463083
O Y B F W E S SPACE N R P _ G L D C Z K X V H T SPACE U I J Q M A _	23.637131416529822	24.88241097465962	26.045618458443197
G Q B _ V SPACE I E H N J M K X L O F U C W SPACE A S T R _ Y P D Z	24.040694864717395	25.187927879181494	26.17298872733555
J U P K D E R SPACE S A G X L M B F O V Q W N T SPACE I H Z Y C _ _	24.35664892628802	25.440755061893167	26.321648751297207
M P L J Y SPACE E A H R B K G X C U O Q _ Z SPACE I T S N V W F _ D	24.624234960883115	25.65268943945353	26.548513589103237
C G P J Z E A SPACE R N V _ B L M D U F Q K S T SPACE H O X _ I Y W	24.87005205406318	25.834064510238193	26.681859697245315
M G P J Z E A SPACE R N V _ B L D C U F Q K S T SPACE H O X _ I Y W	25.090513187405747	25.990882074798556	26.816453401894133
M G P J K E A SPACE R N V _ B L D C U F Q Z I T SPACE S O X _ H Y W	25.313819182687233	26.125411776798337	26.867635423006952
M G P J K E A SPACE R N V _ B L D C U F Q Z I T SPACE S O X _ H Y W	25.523420085577367	26.248753265576827	26.867635423006952
J C Z V P SPACE E T H S X K M R B _ W U Q _ SPACE I N D A G F L O Y	25.711498001974316	26.364627794506553	26.907138027759366
W Y Z B V SPACE E A R N J K G M D C U Q X _ SPACE S T I H _ F L O P	25.875577612829296	26.47460185545051	26.90739068309848
J P X K G SPACE E A R N V B L C D U F Q Z _ SPACE I T S H _ W Y O M	26.0350562079644	26.580338569565846	26.94252352752793
O U G W P E A SPACE R N V B L M D C _ Q K F S T SPACE I H Z X J Y _	26.18389727721002	26.68094203234346	26.997855788242966
O U K B F E A SPACE R N V P L M D C Q _ X J T I SPACE S H _ Z Y G W	26.33343590556911	26.767542012308795	27.084835179950357
Y G Q J Z SPACE E A R N V B D L C U P X _ K SPACE I T S H F W O _ M	26.469812846221537	26.84251092514341	27.151568031236046
G Y X K Z SPACE E A R N V B L D C U P _ J Q SPACE I T S H _ W O F M	26.585633538953118	26.88807982907475	27.181216928699467
G Y J Q Z SPACE E A R N V B D L C U P _ X K SPACE I T S H _ W O F M	26.681778058508637	26.925425074885133	27.271237708737658
G Y J Q Z SPACE E A R N V B D L C U P _ X K SPACE I T S H _ W O F M	26.736606049000287	26.975148904590245	27.271237708737658
G Y X K J SPACE E A R N V B D L M U P Q Z _ SPACE I T S H _ W O F C	26.757847015402085	27.020897097532497	27.340473379152346
G Y X K J SPACE E A R N V B D L M U P Q Z _ SPACE I T S H _ W O F C	26.793459317230475	27.066941155514662	27.340473379152346
G Y C K J SPACE E A R N V P D L M U B Q Z _ SPACE I T S H _ W O F X	26.84020118272227	27.116153311297985	27.344740588904234
B G Q Z K SPACE E A R N V Y D L M U W X J _ SPACE I T H S _ F O C P	26.88894439331553	27.175684563153446	27.3504605776629
B G K J X SPACE E A N R V Y D M L U W _ Z Q SPACE I T S H _ P O F C	26.95149317144656	27.241928032849774	27.3595244934589
P G K X J SPACE E A N R V Y D L M U B Q _ Z SPACE I T S H _ W O F C	27.07110043066289	27.299170973986616	27.3779198439378
P G Z J X SPACE E A R N V Y D L M U B _ Q _ SPACE I T S H K W O F C	27.19471563669762	27.335750719799474	27.38761337466771
P G Z J X SPACE E A R N V Y D L M U B _ Q _ SPACE I T S H K W O F C	27.264508920487888	27.34923914947975	27.38761337466771
P G Z J X SPACE E A N R V Y D L M U B _ Q _ SPACE I T S H K W O F C	27.30462741645105	27.36077579046127	27.396847465424244
P G Z J X SPACE E A N R V Y D L M U W _ Q _ SPACE I T S H K B O F C	27.3215633734236	27.37047705491294	27.406381941391665
P G Z J X SPACE E A N R V Y D L M U W _ Q _ SPACE I T S H K B O F C	27.330883719010927	27.37888712019546	27.406381941391665
P G Z J X SPACE E A N R V Y D L M U W _ Q _ SPACE I T S H K B O F C	27.342690079276686	27.38538223867198	27.406381941391665
P G J Z X SPACE E A N R V Y D L M U W _ Q _ SPACE I T S H K B O F C	27.346376311152884	27.38901894849754	27.406388851795796
P B Z J X SPACE E A S R V Y D L M U G _ Q _ SPACE I T N H K W O F C	27.348037250917493	27.3916305439129	27.416157455141825
P T Z J X SPACE E A S R V Y D L M U G _ Q _ SPACE I B N H K W O F C	27.337521037060203	27.395025496548747	27.416157455141825
P B Z X J SPACE E A S R V Y D L M U G _ Q _ SPACE I T N H K W O F C	27.28319442171104	27.40064405782165	27.41658260545481
P B X J Z SPACE E A S R V Y D L M U G _ Q _ SPACE I T N H K W O F C	27.168835072337504	27.40660664778162	27.41751824733367
P B X J Z SPACE E A S R V Y D L M U G _ Q _ SPACE I T N H K W O F C	27.20209537890791	27.407425086711925	27.41751824733367
P B X J Z SPACE E A S R V Y D L M U G _ Q _ SPACE I T N H K W O F C	27.361724136945362	27.409466453184326	27.41751824733367
P B X J Z SPACE E A S R V Y D L M U G Q _ _ SPACE I T N H K W O F C	27.3776970061801	27.41450394997579	27.418108133865818
P B X J Z SPACE E A S R V Y D L M U G Q _ _ SPACE I T N H K W O F C	27.374970995538792	27.416764499699728	27.418108133865818
P B X J Z SPACE E A S R V Y D L M U G Q _ _ SPACE I T N H K W O F C	27.37690574514586	27.417521358597465	27.418108133865818
P B X J _ SPACE E A S R V Y D L M U G Z Q _ SPACE I T N H K W O F C	27.390841978029535	27.417534112072225	27.418197038188
P B X J _ SPACE S A E R V Y D L M U G Z Q _ SPACE I T N H K W O F C	27.38988645593314	27.417596579139847	27.418197038188
P B X J _ SPACE E A S R V Y D L M U G Z Q _ SPACE I T N H K W O F C	27.387969112321024	27.41791041930287	27.418197038188
P B X J _ SPACE E A S R V Y D L M U G Z Q _ SPACE I T N H K W O F C	27.389210166855502	27.418108462809755	27.418197038188
P B X _ Z SPACE E A S R V Y D L M U G Q J _ SPACE I T N H K W O F C	27.388992877786084	27.418109231358486	27.418410059476226
P B _ M Z SPACE E A S R V Y D L X U G Q J _ SPACE I T N H K W O F C	27.387699286728626	27.41811210711449	27.419001447994813
P B X Z _ SPACE E A S R V Y D L M U G Q J _ SPACE I T N H K W O F C	27.379710316486968	27.418121187115986	27.419064190889127
P B X Z _ SPACE E A S R V Y D L M U G Q J _ SPACE I T N H K W O F C	27.345975023715706	27.41815209218312	27.419064190889127
P B X Z _ SPACE E A S R V Y D L M U G Q J _ SPACE I T N H K W O F C	27.250164764325614	27.418211635938345	27.419064190889127
P B X Z _ SPACE E A S R V Y D L M U G Q J _ SPACE I T N H K W O F C	27.095501250728354	27.418259949236507	27.419064190889127
P B X Z _ SPACE E A S R V Y D L M U G Q J _ SPACE I T N H K W O F C	27.21441672513476	27.41849359257594	27.419064190889127
P B X Z _ SPACE E A S R V Y D L M U G Q J _ SPACE I T N H K W O F C	27.379948925965667	27.418921741860395	27.419064190889127
P B X Z _ SPACE E A S R V Y D L M U G Q J _ SPACE I T N H K W O F C	27.396020015871137	27.419064190884626	27.419064190889127
P B X Z _ SPACE E A S R V Y D L M U G Q J _ SPACE I T N H K W O F C	27.39217516601647	27.419064190884626	27.419064190889127
P B X Z _ SPACE E A S R V Y D L M U G Q J _ SPACE I T N H K W O F C	27.39387513929206	27.419064190884626	27.419064190889127
P B X Z _ SPACE E A S R V Y D L M U G Q J _ SPACE I T N H K W O F C	27.391344044130285	27.419064190884626	27.419064190889127
P B X Z _ SPACE E A S R V Y D L M U G Q J _ SPACE I T N H K W O F C	27.393784243528383	27.419064190884626	27.419064190889127
P B X Z _ SPACE E A S R V Y D L M U G Q J _ SPACE I T N H K W O F C	27.39435715150701	27.419064190884626	27.419064190889127
P B X Z _ SPACE E A S R V Y D L M U G Q J _ SPACE I T N H K W O F C	27.39448782724903	27.419064190884626	27.419064190889127
