layout	average fitness	top percent average fitness	best fitness
T H B G V E N A SPACE I X K R M F W O P Q _ C D L SPACE S J Y Z U _	20.323825660015746	22.325582198965385	24.474199253384498
T H B G V E N A SPACE I X K R M F W O P Q _ C D L SPACE S J Y Z U _	21.139195099329964	22.830708291054975	24.474199253384498
D A G C M SPACE E T H I W U L K N Y J _ Q X SPACE S F R O P Z V B _	21.763387189202035	23.233756502978757	24.82730147472181
D A G C M SPACE E T H I W U L K N Y J _ Q X SPACE S F R O P Z V B _	22.25505977530959	23.5674724514171	24.82730147472181
O _ L D G E T SPACE H A J M N I P Y X Z Q V R S SPACE C F U B W _ K	22.621884344971104	23.850871286977874	25.054266571219785
C Y _ M Z E SPACE T H N F J A R U X B P K V I SPACE D S O Q _ G W L	22.920825457669714	24.09318753752513	25.10158909043227
O U F K W E T SPACE H N G B R I P Q M X Y V S A SPACE L D C J Z _ _	23.185228027980436	24.296266556758425	25.205187130561207
I H Q C V E A SPACE N T K J W L R G _ P B U S O SPACE D F X M Y _ Z	23.408136777470297	24.475450565108037	25.30180395348024
B U J Z V E T SPACE H A C R L M O G _ K P Q I N SPACE S D F X Y _ W	23.616494566804327	24.628823412688323	25.40121553930844
A U B V M E H SPACE T N K _ O R C F J P Q G S D SPACE L I _ Z X Y W	23.799097213304172	24.76046728198236	25.494444181848507
A U B V M E H SPACE T N K _ O R C F J P Q G S D SPACE L I _ Z X Y W	23.973685009662063	24.880551870560588	25.494444181848507
P G Z K V SPACE E I H T L X O R C U W Q _ J SPACE N S A D _ F Y B M	24.134976774663805	24.985637999191972	25.66044394558324
O V F B K E T SPACE H R G U L D M W Z Q _ _ I A SPACE N S J X P Y C	24.277583133476696	25.0777424986747	25.709439451963238
O V F B K E T SPACE H R G U L D M W Z Q _ _ I A SPACE N S J X P Y C	24.40834273591767	25.16158828839248	25.709439451963238
P B V Z J SPACE A E S R C Y L M D G W K X _ SPACE N T I H _ F O Q U	24.524775984965434	25.238185745511174	25.827464784670703
U J Y B G A E SPACE S T C K H L R P Q _ Z W O I SPACE D N X _ V F M	24.63611848654208	25.311692689977928	25.84779773666016
O M G Z F E A SPACE N R J K U D L P _ Q W B T S SPACE H I _ X V Y C	24.737198544613054	25.37730520134092	25.85147471114996
V C X G Q SPACE N S E I U W R O F J B Z K _ SPACE A T H D _ P L M Y	24.828977110334797	25.439865920014302	25.983002654376104
V C X G Q SPACE N S E I U W R O F J B Z K _ SPACE A T H D _ P L M Y	24.916130798151187	25.498522903547613	25.983002654376104
V C X G Q SPACE N S E I U W R O F J B Z K _ SPACE A T H D _ P L M Y	24.995793609019564	25.55433289838169	25.983002654376104
V C X G Q SPACE N S E I U W R O F J B Z K _ SPACE A T H D _ P L M Y	25.075062844846645	25.60825402104386	25.983002654376104
U C K P J E SPACE A N S M B O L R G X Z Q _ I SPACE T H D W _ Y F V	25.14808144487774	25.65992227618515	26.015357003637035
L C U K Q SPACE T E H I P F O R M B J X _ V SPACE A N D S Z Y W G _	25.222706668586707	25.710486051265757	26.0783022245971
U C Z K V SPACE T E H S P G O R M B J X _ Q SPACE A N D I _ Y F W L	25.302891303335368	25.75976406978786	26.11819474922479
M L B P Y E T SPACE H A U V R C O W K _ X Z I N SPACE S D J _ G Q F	25.380645529411	25.807321615762937	26.160234578004577
M L B P Y E T SPACE H A U V R C O W K _ X Z I N SPACE S D J _ G Q F	25.462011469197503	25.851635467488684	26.160234578004577
M L B P Y E T SPACE H A U V R C O W K _ X Z I N SPACE S D J _ G Q F	25.538542456574895	25.893901676391202	26.160234578004577
O V P M F E A SPACE N R U G I L C W Z X _ J T S SPACE H D _ Q K B Y	25.614228856418258	25.934162559554398	26.17972082414088
L M U V B SPACE E T A H P F R O C K J _ Q Z SPACE N I D S _ X Y G W	25.682223960859194	25.97198101881932	26.196393904253775
M L P V B SPACE T E H A U F O R C X Y Q J _ SPACE I N S D _ K Z G W	25.73983786275545	26.006426210800548	26.241483398307555
P L X V U SPACE E T A H M F R O C J B Q Z _ SPACE I N S D _ K W G Y	25.791425230784697	26.03771847265826	26.28392346472877
P L X V U SPACE E T A H M F R O C J B Q Z _ SPACE I N S D _ K W G Y	25.835469250760564	26.06616093262206	26.28392346472877
P L X V U SPACE E T A H M F R O C J B Q Z _ SPACE I N S D _ K W G Y	25.86927557858921	26.09168812338331	26.28392346472877
M F J V X SPACE T E S H U P O C R W Y Q Z _ SPACE I N A D _ K L G B	25.903266542339825	26.11512299224111	26.331494167986317
M F J V X SPACE T E S H U P O C R W Y Q Z _ SPACE I N A D _ K L G B	25.93534479550987	26.136631097130223	26.331494167986317
M F J V X SPACE T E S H U P O C R W Y Q Z _ SPACE I N A D _ K L G B	25.96241522565907	26.156310382257136	26.331494167986317
M F J V X SPACE T E S H U P O C R W Y Q Z _ SPACE I N A D _ K L G B	25.99089755004244	26.17455017067375	26.331494167986317
M P X J V SPACE T E S H U F O C R W Y Q Z _ SPACE A N D I _ K L G B	26.01659771495726	26.190441763464975	26.33288089655958
