layout	average fitness	top percent average fitness	best fitness
A G B C U E T SPACE H I J _ D P N Y _ M Q L S O SPACE V R X W Z F K	20.66710333324757	22.683385381437557	25.02069988488269
Z U F C _ I O SPACE S R H K L M W J B Q Y G E T SPACE A N _ V P D X	21.653368958985606	23.415118177503317	25.530094925865885
Z U F C _ I O SPACE S R H K L M W J B Q Y G E T SPACE A N _ V P D X	22.43913019496272	23.96461816570158	25.530094925865885
Z W F Y G I H SPACE S R J P U M O L C Q B _ E T SPACE A N _ V K D X	23.027313208548023	24.383580153779835	25.596521620590288
G _ X K M D A SPACE E N Z J V C L O Q W B F S T SPACE H R P Y U I _	23.463663969604355	24.71016145926687	25.846559676053033
K X J _ V H SPACE E S D F P O M R G U B _ Q C SPACE I T N W Y A L Z	23.804969750667087	24.977142409200642	26.22480666292464
K X J _ V H SPACE E S D F P O M R G U B _ Q C SPACE I T N W Y A L Z	24.08722503995524	25.20536497276805	26.22480666292464
K X J _ V H SPACE E S D F P O M R G U B _ Q C SPACE I T N W Y A L Z	24.346015618105753	25.400025278873613	26.22480666292464
O F P Z X SPACE E N H R K U L J G C W Q V _ SPACE S T I A D Y M B _	24.582530976973917	25.56284130170652	26.29514378844408
O F P Z X SPACE E N H R K U L J G C W Q V _ SPACE S T I A D Y M B _	24.813194906371002	25.697037150057092	26.29514378844408
O F P Z X SPACE E N H R K U L J G C W Q V _ SPACE S T I A D Y M B _	25.01888226855305	25.816307781457805	26.29514378844408
O U L K F A I SPACE S N X B C D M P Q W J _ E H SPACE T R _ Z Y G V	25.20800932368108	25.92097747562219	26.35511617030024
K X J _ V H SPACE E S D F P O L R G U B _ Q A SPACE I T N W Y C M Z	25.376005807719864	26.011673667960412	26.423820927383037
K X J _ V H SPACE E S D F P O R M W Z U _ Q A SPACE I T N G Y C L B	25.511202947102607	26.102835245304966	26.484593229176706
K X J _ V H SPACE E S D F P O R M W Z U _ Q A SPACE I T N G Y C L B	25.61000040890462	26.18805064872384	26.484593229176706
G Y V B Q SPACE E A R N W U O M D _ X J Z K SPACE T I H S _ C F L P	25.665779173554615	26.244408845808533	26.51104657265309
K X J _ Z H SPACE E S D F P O R M G U V _ Q A SPACE I T N W Y C L B	25.65248835061191	26.275397932289966	26.628894945220164
K X J _ Z H SPACE E S D F P O R M G U V _ Q A SPACE I T N W Y C L B	25.638131586700148	26.327715248255945	26.628894945220164
K X J _ V H SPACE E S D F P O M R G U Z _ Q A SPACE I T N W Y C L B	25.70557484670737	26.38810025632592	26.640760577187915
K Q J _ V H SPACE E S D F P O R M G U Z _ X A SPACE I T N W Y C L B	25.851032839773485	26.444710880221376	26.643918269238057
K X J _ V H SPACE E T D F P O M R G U Z _ Q A SPACE I S N W Y C L B	25.9136944064126	26.49631580391216	26.708098702021385
K X J _ V H SPACE E T D F P O M R G U Z _ Q A SPACE I S N W Y C L B	25.848986369665262	26.53452649224829	26.708098702021385
K Q J _ V H SPACE E T D F P O M R G U Z _ X A SPACE I S N B Y C L W	25.859837562301863	26.576173182810017	26.711653457457494
U X J _ V N SPACE E S D F P O M R Z G K _ Q A SPACE T I H B Y C L W	26.038196751977935	26.6287795481708	26.74522901485676
U X J _ V H SPACE E T D F P O R M Z G K _ Q A SPACE I S N B Y C L W	26.282271331472913	26.648737044802296	26.769003440108683
X W J _ V N SPACE E S D F P O R M Z G K _ Q A SPACE T I H B Y C L U	26.513981192658665	26.669453549888082	26.772544704751564
V K J _ X T SPACE E H D F P O M R G W Z _ Q A SPACE I S N U Y C L B	26.580066910115345	26.7062769581706	26.78911153472589
V W J _ X T SPACE E H D F P O M R Z G K _ Q A SPACE I S N U Y C L B	26.620189587817634	26.73334676317302	26.844670312265887
V W J _ X T SPACE E H D F P O R M Z G K _ Q A SPACE I S N U Y C L B	26.66937159773897	26.75061338784436	26.85597541145233
V W J _ X T SPACE E H D F P O M R Z G K _ Q A SPACE I S N Y U C L B	26.700860630759454	26.76735229365408	26.890214628419297
V W J _ X SPACE T E H D F P O R M Z G K _ Q SPACE A I S N U Y C L B	26.71517205326886	26.78701063800045	26.932825868634506
V W J _ X SPACE T E H D F P O R M K G Z _ Q SPACE A I S N U Y C L B	26.73320529588834	26.8155015891404	26.952124249797603
V W J _ X SPACE T E H D F P O R M K G Z _ Q SPACE A I S N U Y C L B	26.757704237179738	26.85041218903861	26.952124249797603
X W J _ V SPACE T E H D F P O R M K G Z _ Q SPACE A I S N B Y U L C	26.787382902044598	26.88435127766502	26.956041567458072
V W J _ X SPACE T E H D F P O R M K G Z _ Q SPACE A I S N B Y U L C	26.827536878633857	26.90880303951413	26.972973934663663
V W J _ X SPACE T E H D F P O R M K G Z _ Q SPACE A I S N B Y U L C	26.859243808230815	26.925767931169847	26.972973934663663
V W J _ X SPACE T E H D P F O R M K G Q _ Z SPACE A I S N B Y U L C	26.883256171528455	26.947258869029	27.007494093684617
V W J _ X SPACE T E H D P F O R M K G Z _ Q SPACE A I S N B Y U L C	26.895270158468698	26.95833297901244	27.009502957638976
V W Z _ X SPACE T E H D P F O R M K G J _ Q SPACE A I S N B Y U L C	26.918281637359517	26.973181470586685	27.009555516739095
V W Z _ X SPACE T E H _ P F O R M K G J D Q SPACE A I S N B Y U L C	26.935932068552606	26.97696645783853	27.009555516739095
V W Z _ X SPACE T E H D P F O R M K G J _ Q SPACE A I S N B Y U L C	26.943971328569624	26.995573425114685	27.009555516739095
V W _ J X SPACE T E H D P F O R M K G Z _ Q SPACE A I S N B Y U L C	26.95384171249185	27.009508220404904	27.01194662542496
V W _ J X SPACE T E H D P F O R M K G Z _ Q SPACE A I S N B Y U L C	26.967857952961083	27.009534858006145	27.01194662542496
V W _ J X SPACE T E H D P F O R M K G Z _ Q SPACE A I S N B Y U L C	26.979392669007247	27.00965616787412	27.01194662542496
V W _ _ X SPACE T E H D P F O R M K G Z J Q SPACE A I S N B Y U L C	26.980254683039995	27.01003757388611	27.012259371116905
V W _ _ X SPACE T E H D P F O R M K G J Z Q SPACE A I S N B Y U L C	26.98104072522398	27.011395724394564	27.013826478092543
V W _ _ X SPACE T E H D P F O R M K G J Z Q SPACE A I S N B Y U L C	26.982261771817043	27.011500806891878	27.013826478092543
V W _ _ X SPACE T E H D P F O R M K G J Z Q SPACE A I S N B Y U L C	26.97955004921074	27.011906125529233	27.013826478092543
V W _ _ X SPACE T E H D P F O R M K G J Z Q SPACE A I S N B Y U L C	26.97619114488354	27.01201882721806	27.013826478092543
V W _ X J SPACE T E H D P F O R M K G _ Z Q SPACE A I S N B Y U L C	26.964050941673186	27.012234782210296	27.015022831803435
V W _ X J SPACE T E H D P F O R M K G _ Z Q SPACE A I S N B Y U L C	26.929336117370386	27.01311369855345	27.015022831803435
V W _ X J SPACE T E H D P F O R M K G _ Q Z SPACE A I S N B Y U L C	26.822215355053398	27.013835055983776	27.01518284735671
V W _ X _ SPACE T E H D P F O R M K G J Z Q SPACE A I S N B Y U L C	26.684894684350333	27.01393338566327	27.015654279994035
V W _ X _ SPACE T E H D P F O R M K G J Z Q SPACE A I S N B Y U L C	26.73482058663712	27.014228766925168	27.015654279994035
V W _ X _ SPACE T E H D P F O R M K G J Z Q SPACE A I S N B Y U L C	26.851266401403674	27.015030072517828	27.015654279994035
V W _ X _ SPACE T E H D P F O R M K G J Q Z SPACE A I S N B Y U L C	26.723234108349423	27.01505477404204	27.015814295547308
V W _ X _ SPACE T E H D P F O R M K G J Q Z SPACE A I S N B Y U L C	26.753532090513897	27.01515571706179	27.015814295547308
V W _ X _ SPACE T E H D P F O R M K G J Q Z SPACE A I S N B Y U L C	26.926562033028873	27.015349435023808	27.015814295547308
V W _ X SPACE _ T E H D P F O R M K G J Q SPACE Z A I S N B Y U L C	26.874935170997944	27.015666233156615	27.015814295547308
V W _ X _ SPACE T E H D P F O R M K G J Q Z SPACE A I S N B Y U L C	26.716645982867266	27.01571268567152	27.015814295547308
V W _ X _ SPACE T E H D P F O R M K G J Q Z SPACE A I S N B Y U L C	26.778242895504395	27.015814295541244	27.015814295547308
V W _ X _ SPACE T E H D P F O R M K G J Q Z SPACE A I S N B Y U L C	26.96832623869101	27.015814295541244	27.015814295547308
V W _ X _ SPACE T E H D P F O R M K G J Q Z SPACE A I S N B Y U L C	26.98608247587999	27.015814295541244	27.015814295547308
V W _ X _ SPACE T E H D P F O R M K G J Q Z SPACE A I S N B Y U L C	26.987513521187253	27.015814295541244	27.015814295547308
V W _ X _ SPACE T E H D P F O R M K G J Q Z SPACE A I S N B Y U L C	26.987292620567878	27.015814295541244	27.015814295547308
V W _ X _ SPACE T E H D P F O R M K G J Q Z SPACE A I S N B Y U L C	26.984185243037533	27.015814295541244	27.015814295547308
V W _ X _ SPACE T E H D P F O R M K G J Q Z SPACE A I S N B Y U L C	26.985347223850518	27.015814295541244	27.015814295547308
V W _ X _ SPACE T E H D P F O R M K G J Q Z SPACE A I S N B Y U L C	26.983959190942734	27.015814295541244	27.015814295547308
V W _ X _ SPACE T E H D P F O R M K G J Q Z SPACE A I S N B Y U L C	26.984814461045442	27.015814295541244	27.015814295547308
V W _ X _ SPACE T E H D P F O R M K G J Q Z SPACE A I S N B Y U L C	26.985371020876332	27.015814295541244	27.015814295547308
V W _ SPACE _ X T E H D P F O R M K G J SPACE Z Q A I S N B Y U L C	26.983779768603412	27.015814295541244	27.015814295547308
V W _ X _ SPACE T E H D P F O R M K G J Q Z SPACE A I S N B Y U L C	26.985430879321914	27.015814295541244	27.015814295547308
V W _ X _ SPACE T E H D P F O R M K G J Q Z SPACE A I S N B Y U L C	26.984350129774697	27.015814295541244	27.015814295547308
V W _ X _ SPACE T E H D P F O R M K G J Q Z SPACE A I S N B Y U L C	26.985894341070527	27.015814295541244	27.015814295547308
